,Constituency_No,Position,Candidate,Sex,Party,Votes,Age,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_ID,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Education_Qualification,Main_Profession,Main_Profession_Desc,Second_Profession,Second_Profession_Desc,Result
2155,118,16,KANNAPIRAN V,M,Dravida Murpokku Makkal Katchi,128,39.0,202799,342508,COIMBATORE NORTH,GEN,COIMBATORE,WESTERN REGION,20,59.21,0.06,yes,4,0.0,3.03,AETN274535,24307,1.0,,,,,,0.0,False,False,False,12th Pass,Salaried Work or Employed,Qualified Professional,,,Lost
2156,118,17,KUMAR G.D.K,M,IND,124,43.0,202799,342508,COIMBATORE NORTH,GEN,COIMBATORE,WESTERN REGION,20,59.21,0.06,yes,38,0.02,3.03,AETN274540,10809,1.0,,,,,,0.0,False,False,False,8th Pass,Small Business or Self-employed,Self-employed,,,Lost
2157,118,18,RAJKUMAR M.P,M,Makkal Munnetra Peravai,86,49.0,202799,342508,COIMBATORE NORTH,GEN,COIMBATORE,WESTERN REGION,20,59.21,0.04,yes,29,0.01,3.03,AETN274534,24309,1.0,,,,,,0.0,False,False,False,10th Pass,Agriculture,,,,Lost
2158,118,19,SHANMUGASUNDARAM K,M,IND,57,69.0,202799,342508,COIMBATORE NORTH,GEN,COIMBATORE,WESTERN REGION,20,59.21,0.03,yes,8,0.0,3.03,AETN274542,10809,1.0,,,,,,0.0,False,False,False,8th Pass,Business,Real Estate or Builder or Developer or Construction,,,Lost
2159,118,20,DALIT. SU. JEYARAJ,M,IND,49,68.0,202799,342508,COIMBATORE NORTH,GEN,COIMBATORE,WESTERN REGION,20,59.21,0.02,yes,27,0.01,3.03,AETN274543,10809,1.0,,,,,,0.0,False,False,False,Post Graduate,Other,,,,Lost
2160,118,21,RAMESHKUMAR D,M,IND,22,38.0,202799,342508,COIMBATORE NORTH,GEN,COIMBATORE,WESTERN REGION,20,59.21,0.01,yes,0,0.0,3.03,AETN274548,10809,1.0,,,,,,0.0,False,False,False,10th Pass,Labourer or Daily Wage,,,,Lost
2161,119,1,S.P. VELUMANI,M,ADMK,124225,51.0,230531,328298,THONDAMUTHUR,GEN,COIMBATORE,WESTERN REGION,10,70.22,53.89,no,41630,18.06,2.38,AETN192022,930,3.0,ADMK,930.0,THONDAMUTHUR,True,True,3.0,False,False,False,Post Graduate,Agriculture,,,,Won
2162,119,2,KARTHIKEYA,M,DMK,82595,48.0,230531,328298,THONDAMUTHUR,GEN,COIMBATORE,WESTERN REGION,10,70.22,35.83,no,70989,30.79,2.38,AETN274550,10192,1.0,,,,,,0.0,False,False,False,12th Pass,Business,Agricultural Business,Agriculture,,Lost
2163,119,3,S. SHAJAHAN,F,MNM,11606,43.0,230531,328298,THONDAMUTHUR,GEN,COIMBATORE,WESTERN REGION,10,70.22,5.03,yes,3564,1.55,2.38,AETN274555,24404,1.0,,,,,,0.0,False,False,False,Graduate,Other,,,,Lost
2164,119,4,S. KALAIARASI,F,NTK,8042,29.0,230531,328298,THONDAMUTHUR,GEN,COIMBATORE,WESTERN REGION,10,70.22,3.49,yes,6407,2.78,2.38,AETN274552,5533,1.0,,,,,,0.0,False,False,False,Graduate,Other,Household,,,Lost
2165,119,5,None Of The Above,,NOTA,1635,,230531,328298,THONDAMUTHUR,GEN,COIMBATORE,WESTERN REGION,10,70.22,0.71,,400,0.17,2.38,,5897,,,,,,,,,,,,,,,,
2166,119,6,R.SATHISHKUMAR,M,AMMK,1235,35.0,230531,328298,THONDAMUTHUR,GEN,COIMBATORE,WESTERN REGION,10,70.22,0.54,yes,807,0.35,2.38,AETN274553,24338,1.0,,,,,,0.0,False,False,False,Graduate,Agriculture,,,,Lost
2167,119,7,A. MANSOOR ALI KHAN,M,IND,428,58.0,230531,328298,THONDAMUTHUR,GEN,COIMBATORE,WESTERN REGION,10,70.22,0.19,yes,116,0.05,2.38,AETN274558,10809,1.0,,,,,,0.0,False,False,False,,,,,,Lost
2168,119,8,J.JOHN EDWARD VISUVASAM,M,IND,312,38.0,230531,328298,THONDAMUTHUR,GEN,COIMBATORE,WESTERN REGION,10,70.22,0.14,yes,137,0.06,2.38,AETN274559,10809,1.0,,,,,,0.0,False,False,False,10th Pass,Business,,Liberal Profession or Professional,Journalist or Editor,Lost
2169,119,9,CC SELVAMOHAN,M,IND,175,46.0,230531,328298,THONDAMUTHUR,GEN,COIMBATORE,WESTERN REGION,10,70.22,0.08,yes,33,0.01,2.38,AETN274557,10809,1.0,,,,,,0.0,False,False,False,Graduate,Other,,,,Lost
2170,119,10,A. ABDUL GAFOOR,M,IND,142,73.0,230531,328298,THONDAMUTHUR,GEN,COIMBATORE,WESTERN REGION,10,70.22,0.06,yes,6,0.0,2.38,AETN274556,10809,1.0,,,,,,0.0,False,False,False,Graduate,Business,,,,Lost
2171,119,11,M. BADRAN,M,Ganasangam Party of India,136,57.0,230531,328298,THONDAMUTHUR,GEN,COIMBATORE,WESTERN REGION,10,70.22,0.06,yes,0,0.0,2.38,AETN274554,3064,1.0,,,,,,0.0,False,False,False,10th Pass,Agricultural Labour,,,,Lost
2172,120,1,VANATHI SRINIVASAN,F,BJP,53209,50.0,154765,255009,COIMBATORE SOUTH,GEN,COIMBATORE,WESTERN REGION,21,60.69,34.38,no,1728,1.12,3.23,AETN190949,1605,3.0,BJP,1605.0,COIMBATORE (SOUTH),True,True,1.0,False,False,True,Post Graduate,Liberal Profession or Professional,Lawyer,,,Won
2173,120,2,KAMALHAASAN,M,MNM,51481,66.0,154765,255009,COIMBATORE SOUTH,GEN,COIMBATORE,WESTERN REGION,21,60.69,33.26,no,9098,5.88,3.23,AETN274562,24404,1.0,,,,,,0.0,False,False,False,,,,,,Lost
2174,120,3,MAYURA S JAYAKUMAR,M,INC,42383,47.0,154765,255009,COIMBATORE SOUTH,GEN,COIMBATORE,WESTERN REGION,21,60.69,27.39,no,38083,24.61,3.23,AETN192047,3482,2.0,INC,3482.0,SINGANALLUR,False,True,0.0,False,False,False,Post Graduate,Business,,,,Lost
2175,120,4,ABDUL WAHAB,M,NTK,4300,44.0,154765,255009,COIMBATORE SOUTH,GEN,COIMBATORE,WESTERN REGION,21,60.69,2.78,yes,3399,2.2,3.23,AETN274561,5533,1.0,,,,,,0.0,False,False,False,10th Pass,Small Business or Self-employed,Self-employed,,,Lost
2176,120,5,None Of The Above,,NOTA,901,,154765,255009,COIMBATORE SOUTH,GEN,COIMBATORE,WESTERN REGION,21,60.69,0.58,,200,0.13,3.23,,5897,,,,,,,,,,,,,,,,
2177,120,6,DURAISAMY @ CHALLENGER DURAI,M,AMMK,701,62.0,154765,255009,COIMBATORE SOUTH,GEN,COIMBATORE,WESTERN REGION,21,60.69,0.45,yes,427,0.28,3.23,AETN274565,24338,1.0,,,,,,0.0,False,False,False,Post Graduate,Business,,Agriculture,,Lost
2178,120,7,ROSHAN,M,BSP,274,42.0,154765,255009,COIMBATORE SOUTH,GEN,COIMBATORE,WESTERN REGION,21,60.69,0.18,yes,84,0.05,3.23,AETN274560,16651,1.0,,,,,,0.0,False,False,False,10th Pass,Small Business or Self-employed,,,,Lost
2179,120,8,SUNDARAVADIVELU,M,IND,190,63.0,154765,255009,COIMBATORE SOUTH,GEN,COIMBATORE,WESTERN REGION,21,60.69,0.12,yes,9,0.01,3.23,AETN274571,10809,1.0,,,,,,0.0,False,False,False,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Lost
2180,120,9,DHANDABANI,M,IND,181,47.0,154765,255009,COIMBATORE SOUTH,GEN,COIMBATORE,WESTERN REGION,21,60.69,0.12,yes,18,0.01,3.23,AETN274574,10809,1.0,,,,,,0.0,False,False,False,5th Pass,Other,,,,Lost
2181,120,10,SELVAKUMAR,M,IND,163,25.0,154765,255009,COIMBATORE SOUTH,GEN,COIMBATORE,WESTERN REGION,21,60.69,0.11,yes,27,0.02,3.23,AETN274573,10809,1.0,,,,,,0.0,False,False,False,Graduate,Other,,,,Lost
2182,120,11,PALANIKUMAR.V,M,IND,136,35.0,154765,255009,COIMBATORE SOUTH,GEN,COIMBATORE,WESTERN REGION,21,60.69,0.09,yes,1,0.0,3.23,AETN274576,10809,1.0,,,,,,0.0,False,False,False,Others,Labourer or Daily Wage,,,,Lost
2183,120,12,NAGAVALLI,F,IND,135,42.0,154765,255009,COIMBATORE SOUTH,GEN,COIMBATORE,WESTERN REGION,21,60.69,0.09,yes,8,0.01,3.23,AETN274575,10809,1.0,,,,,,0.0,False,False,False,Post Graduate,Other,Household,,,Lost
2184,120,13,GOPALAKRISHNAN,M,New Generation People’s Party,127,47.0,154765,255009,COIMBATORE SOUTH,GEN,COIMBATORE,WESTERN REGION,21,60.69,0.08,yes,25,0.02,3.23,AETN274563,24300,1.0,,,,,,0.0,False,False,False,8th Pass,Other,,,,Lost
2185,120,14,JAYAPRAKASH.N,M,IND,102,36.0,154765,255009,COIMBATORE SOUTH,GEN,COIMBATORE,WESTERN REGION,21,60.69,0.07,yes,26,0.02,3.23,AETN274578,10809,1.0,,,,,,0.0,False,False,False,Post Graduate,Small Business or Self-employed,Self-employed,,,Lost
2186,120,15,SANMUGAVEL,M,Ganasangam Party of India,76,54.0,154765,255009,COIMBATORE SOUTH,GEN,COIMBATORE,WESTERN REGION,21,60.69,0.05,yes,2,0.0,3.23,AETN274564,3064,1.0,,,,,,0.0,False,False,False,Graduate,Other,,,,Lost
2187,120,16,VIVEK SUBRAMANIAM,M,Manitha Urimaigal Kalaagam,74,35.0,154765,255009,COIMBATORE SOUTH,GEN,COIMBATORE,WESTERN REGION,21,60.69,0.05,yes,1,0.0,3.23,AETN274567,24318,1.0,,,,,,0.0,False,False,False,12th Pass,Liberal Profession or Professional,Journalist or Editor,,,Lost
2188,120,17,RAGHUL GANDHI .K,M,Hindustan Janta Party,73,32.0,154765,255009,COIMBATORE SOUTH,GEN,COIMBATORE,WESTERN REGION,21,60.69,0.05,yes,11,0.01,3.23,AETN274566,10341,1.0,,,,,,0.0,False,False,False,10th Pass,Other,,,,Lost
2189,120,18,JAYACHANDRAN,M,IND,62,51.0,154765,255009,COIMBATORE SOUTH,GEN,COIMBATORE,WESTERN REGION,21,60.69,0.04,yes,3,0.0,3.23,AETN274577,10809,1.0,,,,,,0.0,False,False,False,Post Graduate,Small Business or Self-employed,Self-employed,,,Lost
2190,120,19,VELLIMALAI,M,"Makkal Sananayaga Kudiyarasu Katchi,",59,45.0,154765,255009,COIMBATORE SOUTH,GEN,COIMBATORE,WESTERN REGION,21,60.69,0.04,yes,1,0.0,3.23,AETN274568,5297,1.0,,,,,,0.0,False,False,False,Illiterate,Politics,Party Worker,,,Lost
2191,120,20,KUMAREASAN. K,M,IND,58,38.0,154765,255009,COIMBATORE SOUTH,GEN,COIMBATORE,WESTERN REGION,21,60.69,0.04,yes,7,0.0,3.23,AETN274570,10809,1.0,,,,,,0.0,False,False,False,10th Pass,Business,,,,Lost
2192,120,21,ALPHONSERAJ,M,IND,51,52.0,154765,255009,COIMBATORE SOUTH,GEN,COIMBATORE,WESTERN REGION,21,60.69,0.03,yes,22,0.01,3.23,AETN274569,10809,1.0,,,,,,0.0,False,False,False,5th Pass,Labourer or Daily Wage,Taxi Driver,,,Lost
2193,120,22,CHELLADURAI. S,M,IND,29,60.0,154765,255009,COIMBATORE SOUTH,GEN,COIMBATORE,WESTERN REGION,21,60.69,0.02,yes,0,0.0,3.23,AETN274572,10809,1.0,,,,,,0.0,False,False,False,12th Pass,Salaried Work or Employed,,,,Lost
2194,121,1,"Jayaram, K.R",M,ADMK,81244,47.0,202021,327265,SINGANALLUR,GEN,COIMBATORE,WESTERN REGION,21,61.73,40.22,no,10854,5.37,3.23,AETN274579,930,1.0,,,,,,1.0,False,False,False,8th Pass,Business,Real Estate or Builder or Developer or Construction,,,Won
2195,121,2,"Karthik, N",M,DMK,70390,56.0,202021,327265,SINGANALLUR,GEN,COIMBATORE,WESTERN REGION,21,61.73,34.84,no,33535,16.6,3.23,AETN188824,10192,2.0,DMK,10192.0,SINGANALLUR,True,True,1.0,False,True,True,8th Pass,Social Work,,,,Lost
2196,121,3,"Mahendran, R",M,MNM,36855,58.0,202021,327265,SINGANALLUR,GEN,COIMBATORE,WESTERN REGION,21,61.73,18.24,no,28489,14.1,3.23,AETN274585,24404,1.0,,,,,,0.0,False,False,False,Post Graduate,Business,,Liberal Profession or Professional,Doctor,Lost
2197,121,4,"Narmadha, R",F,NTK,8366,37.0,202021,327265,SINGANALLUR,GEN,COIMBATORE,WESTERN REGION,21,61.73,4.14,yes,6633,3.28,3.23,AETN274583,5533,1.0,,,,,,0.0,False,False,False,Graduate,Other,Household,,,Lost
2198,121,5,"Selva, S.R",M,AMMK,1733,44.0,202021,327265,SINGANALLUR,GEN,COIMBATORE,WESTERN REGION,21,61.73,0.86,yes,301,0.15,3.23,AETN274582,24338,1.0,,,,,,0.0,False,False,False,Post Graduate,Business,,,,Lost
2199,121,6,None Of The Above,,NOTA,1432,,202021,327265,SINGANALLUR,GEN,COIMBATORE,WESTERN REGION,21,61.73,0.71,,1175,0.58,3.23,,5897,,,,,,,,,,,,,,,,
2200,121,7,"Nabas Sherif, M",M,IND,257,30.0,202021,327265,SINGANALLUR,GEN,COIMBATORE,WESTERN REGION,21,61.73,0.13,yes,46,0.02,3.23,AETN274593,10809,1.0,,,,,,0.0,False,False,False,12th Pass,Labourer or Daily Wage,,,,Lost
2201,121,8,"Sasikumar, M",M,Anna Dravidar Kazhagam,211,43.0,202021,327265,SINGANALLUR,GEN,COIMBATORE,WESTERN REGION,21,61.73,0.1,yes,10,0.0,3.23,AETN274580,24314,1.0,,,,,,0.0,False,False,False,Others,Other,,,,Lost
2202,121,9,"Chanthirika, R",F,IND,201,40.0,202021,327265,SINGANALLUR,GEN,COIMBATORE,WESTERN REGION,21,61.73,0.1,yes,13,0.01,3.23,AETN274592,10809,1.0,,,,,,0.0,False,False,False,10th Pass,Other,Household,,,Lost
2203,121,10,Praveen Venkatachalam,M,IND,188,32.0,202021,327265,SINGANALLUR,GEN,COIMBATORE,WESTERN REGION,21,61.73,0.09,yes,25,0.01,3.23,AETN274595,10809,1.0,,,,,,0.0,False,False,False,Post Graduate,Business,,,,Lost
2204,121,11,"Nagarajan, J",M,IND,163,53.0,202021,327265,SINGANALLUR,GEN,COIMBATORE,WESTERN REGION,21,61.73,0.08,yes,28,0.01,3.23,AETN274594,10809,1.0,,,,,,0.0,False,False,False,Post Graduate,Business,Private Company,,,Lost
2205,121,12,"Karthik, N",M,IND,135,32.0,202021,327265,SINGANALLUR,GEN,COIMBATORE,WESTERN REGION,21,61.73,0.07,yes,14,0.01,3.23,AETN274588,10809,1.0,,,,,,0.0,False,False,False,10th Pass,Small Business or Self-employed,Self-employed,,,Lost
2206,121,13,"Mohandass, N",M,IND,121,38.0,202021,327265,SINGANALLUR,GEN,COIMBATORE,WESTERN REGION,21,61.73,0.06,yes,8,0.0,3.23,AETN274597,10809,1.0,,,,,,0.0,False,False,False,Others,Small Business or Self-employed,Self-employed,,,Lost
2207,121,14,"Palanisamy, N",M,My India Party,113,62.0,202021,327265,SINGANALLUR,GEN,COIMBATORE,WESTERN REGION,21,61.73,0.06,yes,19,0.01,3.23,AETN274584,24339,1.0,,,,,,0.0,False,False,False,Post Graduate,Other,,,,Lost
2208,121,15,"SenthilKumar, S",M,United States of India Party,94,43.0,202021,327265,SINGANALLUR,GEN,COIMBATORE,WESTERN REGION,21,61.73,0.05,yes,5,0.0,3.23,AETN274581,24419,1.0,,,,,,0.0,False,False,False,Graduate Professional,Business,,,,Lost
2209,121,16,"Maniraj, K",M,IND,89,58.0,202021,327265,SINGANALLUR,GEN,COIMBATORE,WESTERN REGION,21,61.73,0.04,yes,2,0.0,3.23,AETN274596,10809,1.0,,,,,,0.0,False,False,False,Others,Business,,Social Work,,Lost
2210,121,17,"Kumar babu, K",M,IND,87,59.0,202021,327265,SINGANALLUR,GEN,COIMBATORE,WESTERN REGION,21,61.73,0.04,yes,1,0.0,3.23,AETN274590,10809,1.0,,,,,,0.0,False,False,False,8th Pass,Liberal Profession or Professional,Journalist or Editor,,,Lost
2211,121,18,"Akbar Ali, A",M,IND,86,52.0,202021,327265,SINGANALLUR,GEN,COIMBATORE,WESTERN REGION,21,61.73,0.04,yes,0,0.0,3.23,AETN274586,10809,1.0,,,,,,0.0,False,False,False,8th Pass,Business,,,,Lost
2212,121,19,"Viju Alban Prakash, V",M,IND,86,29.0,202021,327265,SINGANALLUR,GEN,COIMBATORE,WESTERN REGION,21,61.73,0.04,yes,13,0.01,3.23,AETN274598,10809,1.0,,,,,,0.0,False,False,False,Others,Small Business or Self-employed,Self-employed,,,Lost
2213,121,20,"Karthick, N",M,IND,73,29.0,202021,327265,SINGANALLUR,GEN,COIMBATORE,WESTERN REGION,21,61.73,0.04,yes,6,0.0,3.23,AETN274587,10809,1.0,,,,,,0.0,False,False,False,Graduate Professional,Labourer or Daily Wage,,,,Lost
2214,121,21,"Gowtham, P",M,IND,67,31.0,202021,327265,SINGANALLUR,GEN,COIMBATORE,WESTERN REGION,21,61.73,0.03,yes,37,0.02,3.23,AETN274591,10809,1.0,,,,,,0.0,False,False,False,Post Graduate,Business,,,,Lost
2215,121,22,"Krishnan, V",M,IND,30,50.0,202021,327265,SINGANALLUR,GEN,COIMBATORE,WESTERN REGION,21,61.73,0.01,yes,0,0.0,3.23,AETN274589,10809,1.0,,,,,,0.0,False,False,False,8th Pass,Other,,,,Lost
2216,122,1,Damodaran.S,M,ADMK,101537,69.0,232435,329041,KINATHUKADAVU,GEN,COIMBATORE,WESTERN REGION,14,70.64,43.68,no,1095,0.47,2.63,AETN192057,930,4.0,ADMK,930.0,KINATHUKADAVU,True,True,4.0,False,False,False,10th Pass,Agriculture,,,,Won
2217,122,2,Kuruchi Prabhakaran,M,DMK,100442,46.0,232435,329041,KINATHUKADAVU,GEN,COIMBATORE,WESTERN REGION,14,70.64,43.21,no,86503,37.22,2.63,AETN188842,10192,2.0,DMK,10192.0,KINATHUKADAVU,True,True,0.0,False,False,True,12th Pass,Other,,,,Lost
2218,122,3,Siva.A,M,MNM,13939,43.0,232435,329041,KINATHUKADAVU,GEN,COIMBATORE,WESTERN REGION,14,70.64,6.0,yes,2659,1.14,2.63,AETN274602,24404,1.0,,,,,,0.0,False,False,False,Others,Business,Private Company,,,Lost
2219,122,4,Umajagadesh.M,M,NTK,11280,36.0,232435,329041,KINATHUKADAVU,GEN,COIMBATORE,WESTERN REGION,14,70.64,4.85,yes,9000,3.87,2.63,AETN274601,5533,1.0,,,,,,0.0,False,False,False,Post Graduate,Liberal Profession or Professional,Lawyer,,,Lost
2220,122,5,None Of The Above,,NOTA,2280,,232435,329041,KINATHUKADAVU,GEN,COIMBATORE,WESTERN REGION,14,70.64,0.98,,1032,0.44,2.63,,5897,,,,,,,,,,,,,,,,
2221,122,6,ROHINI MA.PA,M,AMMK,1248,54.0,232435,329041,KINATHUKADAVU,GEN,COIMBATORE,WESTERN REGION,14,70.64,0.54,yes,743,0.32,2.63,AETN274604,24338,1.0,,,,,,0.0,False,False,False,12th Pass,Business,,,,Lost
2222,122,7,Velusamy.V,M,IND,505,59.0,232435,329041,KINATHUKADAVU,GEN,COIMBATORE,WESTERN REGION,14,70.64,0.22,yes,152,0.07,2.63,AETN274611,10809,1.0,,,,,,0.0,False,False,False,10th Pass,Other,,,,Lost
2223,122,8,Anbazhagan.G,M,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,353,38.0,232435,329041,KINATHUKADAVU,GEN,COIMBATORE,WESTERN REGION,14,70.64,0.15,yes,125,0.05,2.63,AETN274600,24301,1.0,,,,,,0.0,False,False,False,8th Pass,Other,,,,Lost
2224,122,9,Nagendran.P,M,IND,228,37.0,232435,329041,KINATHUKADAVU,GEN,COIMBATORE,WESTERN REGION,14,70.64,0.1,yes,41,0.02,2.63,AETN274609,10809,1.0,,,,,,0.0,False,False,False,10th Pass,Other,,,,Lost
2225,122,10,Mariappan.R,M,Ganasangam Party of India,187,43.0,232435,329041,KINATHUKADAVU,GEN,COIMBATORE,WESTERN REGION,14,70.64,0.08,yes,52,0.02,2.63,AETN274603,3064,1.0,,,,,,0.0,False,False,False,5th Pass,Labourer or Daily Wage,Taxi Driver,,,Lost
2226,122,11,Noor Muhamad . A,M,IND,135,63.0,232435,329041,KINATHUKADAVU,GEN,COIMBATORE,WESTERN REGION,14,70.64,0.06,yes,27,0.01,2.63,AETN274610,10809,1.0,,,,,,0.0,False,False,False,Illiterate,Other,,,,Lost
2227,122,12,Dharmalingam.K,M,IND,108,51.0,232435,329041,KINATHUKADAVU,GEN,COIMBATORE,WESTERN REGION,14,70.64,0.05,yes,20,0.01,2.63,AETN274607,10809,1.0,,,,,,0.0,False,False,False,10th Pass,Agriculture,,,,Lost
2228,122,13,Nazir Babu.S,M,IND,88,48.0,232435,329041,KINATHUKADAVU,GEN,COIMBATORE,WESTERN REGION,14,70.64,0.04,yes,33,0.01,2.63,AETN274608,10809,1.0,,,,,,0.0,False,False,False,10th Pass,Labourer or Daily Wage,,,,Lost
2229,122,14,James.S,M,All India Jananayaka Makkal Kazhagam,55,68.0,232435,329041,KINATHUKADAVU,GEN,COIMBATORE,WESTERN REGION,14,70.64,0.02,yes,5,0.0,2.63,AETN274605,24295,1.0,,,,,,0.0,False,False,False,8th Pass,Other,,,,Lost
2230,122,15,Atheeswaran.S,M,IND,50,40.0,232435,329041,KINATHUKADAVU,GEN,COIMBATORE,WESTERN REGION,14,70.64,0.02,yes,0,0.0,2.63,AETN274606,10809,1.0,,,,,,0.0,False,False,False,12th Pass,Small Business or Self-employed,Self-employed,,,Lost
2231,123,1,Pollachi V. Jayaraman,M,ADMK,80567,67.0,177308,229257,POLLACHI,GEN,COIMBATORE,WESTERN REGION,8,77.34,45.44,no,1725,0.97,2.44,AETN194767,930,4.0,ADMK,930.0,POLLACHI,True,True,4.0,False,True,True,Doctorate,Business,,Agriculture,,Won
2232,123,2,"Dr. Varadharajan, K.",M,DMK,78842,67.0,177308,229257,POLLACHI,GEN,COIMBATORE,WESTERN REGION,8,77.34,44.47,no,71253,40.19,2.44,AETN274613,10192,1.0,,,,,,0.0,False,False,False,Graduate Professional,Liberal Profession or Professional,Doctor,,,Lost
2233,123,3,"Sathieshkumar, V.T.",M,MNM,7589,46.0,177308,229257,POLLACHI,GEN,COIMBATORE,WESTERN REGION,8,77.34,4.28,yes,1187,0.67,2.44,AETN274614,24404,1.0,,,,,,0.0,False,False,False,12th Pass,Agriculture,,,,Lost
2234,123,4,"Logeswari, N.",F,NTK,6402,32.0,177308,229257,POLLACHI,GEN,COIMBATORE,WESTERN REGION,8,77.34,3.61,yes,4856,2.74,2.44,AETN274615,5533,1.0,,,,,,0.0,False,False,False,Graduate,Business,,,,Lost
2235,123,5,None Of The Above,,NOTA,1546,,177308,229257,POLLACHI,GEN,COIMBATORE,WESTERN REGION,8,77.34,0.87,,405,0.23,2.44,,5897,,,,,,,,,,,,,,,,
2236,123,6,"Sugumar, K.",M,AMMK,1141,60.0,177308,229257,POLLACHI,GEN,COIMBATORE,WESTERN REGION,8,77.34,0.64,yes,650,0.37,2.44,GETN10499,24338,1.0,,,,,,0.0,False,False,False,Graduate,Business,,Agriculture,,Lost
2237,123,7,"Aruchamy, C.M.",M,BSP,491,56.0,177308,229257,POLLACHI,GEN,COIMBATORE,WESTERN REGION,8,77.34,0.28,yes,123,0.07,2.44,AETN274612,16651,1.0,,,,,,0.0,False,False,False,5th Pass,Small Business or Self-employed,Self-employed,,,Lost
2238,123,8,"Shanthu Mohamed, A.",M,IND,368,37.0,177308,229257,POLLACHI,GEN,COIMBATORE,WESTERN REGION,8,77.34,0.21,yes,6,0.0,2.44,AETN274616,10809,1.0,,,,,,0.0,False,False,False,10th Pass,Labourer or Daily Wage,,,,Lost
2239,123,9,"Muthukumarasamy, R.",M,IND,362,46.0,177308,229257,POLLACHI,GEN,COIMBATORE,WESTERN REGION,8,77.34,0.2,yes,0,0.0,2.44,AETN274617,10809,1.0,,,,,,0.0,False,False,False,12th Pass,Liberal Profession or Professional,Journalist or Editor,,,Lost
2240,124,1,AMULKANDASAMI T K,M,ADMK,71672,55.0,145172,207270,VALPARAI,SC,COIMBATORE,WESTERN REGION,6,70.04,49.37,no,12223,8.42,2.44,AETN274618,930,1.0,,,,,,1.0,False,False,False,10th Pass,Business,,,,Won
2241,124,2,ARUMUGAM M,M,CPI,59449,69.0,145172,207270,VALPARAI,SC,COIMBATORE,WESTERN REGION,6,70.04,40.95,no,51817,35.69,2.44,AETN274619,2444,1.0,,,,,,0.0,False,False,False,10th Pass,Social Work,,,,Lost
2242,124,3,KOHILA C,F,NTK,7632,31.0,145172,207270,VALPARAI,SC,COIMBATORE,WESTERN REGION,6,70.04,5.26,yes,4318,2.97,2.44,AETN274621,5533,1.0,,,,,,0.0,False,False,False,Post Graduate,Other,Household,,,Lost
2243,124,4,SENTHILRAJ D,M,MNM,3314,57.0,145172,207270,VALPARAI,SC,COIMBATORE,WESTERN REGION,6,70.04,2.28,yes,1899,1.31,2.44,AETN274622,24404,1.0,,,,,,0.0,False,False,False,Post Graduate,Social Work,,,,Lost
2244,124,5,None Of The Above,,NOTA,1415,,145172,207270,VALPARAI,SC,COIMBATORE,WESTERN REGION,6,70.04,0.97,,80,0.06,2.44,,5897,,,,,,,,,,,,,,,,
2245,124,6,MURUGARAJ M S,M,DMDK,1335,58.0,145172,207270,VALPARAI,SC,COIMBATORE,WESTERN REGION,6,70.04,0.92,yes,980,0.68,2.44,AETN274620,2956,1.0,,,,,,0.0,False,False,False,Post Graduate,Liberal Profession or Professional,Lawyer,,,Lost
2246,124,7,RANGASAMY T M,M,IND,355,57.0,145172,207270,VALPARAI,SC,COIMBATORE,WESTERN REGION,6,70.04,0.24,yes,0,0.0,2.44,AETN274623,10809,1.0,,,,,,0.0,False,False,False,10th Pass,Social Work,,,,Lost
2247,125,1,"Radhakrishnan,K.",M,ADMK,96893,55.0,194358,272553,UDUMALPET,GEN,COIMBATORE,WESTERN REGION,15,71.31,49.85,no,21895,11.27,2.5,AETN274626,930,1.0,,,,,,1.0,False,False,False,Graduate,Other,,,,Won
2248,125,2,"Thennarasu,K.",M,INC,74998,55.0,194358,272553,UDUMALPET,GEN,COIMBATORE,WESTERN REGION,15,71.31,38.59,no,66406,34.17,2.5,AETN274625,3482,1.0,,,,,,0.0,False,False,False,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Lost
2249,125,3,"Babu Ranjendra Prasad,A.",M,NTK,8592,36.0,194358,272553,UDUMALPET,GEN,COIMBATORE,WESTERN REGION,15,71.31,4.42,yes,429,0.22,2.5,AETN274630,5533,1.0,,,,,,0.0,False,False,False,Post Graduate,Business,,,,Lost
2250,125,4,"Srinithi,V.",F,MNM,8163,32.0,194358,272553,UDUMALPET,GEN,COIMBATORE,WESTERN REGION,15,71.31,4.2,yes,6685,3.44,2.5,AETN274631,24404,1.0,,,,,,0.0,False,False,False,Post Graduate,Other,,,,Lost
2251,125,5,None Of The Above,,NOTA,1478,,194358,272553,UDUMALPET,GEN,COIMBATORE,WESTERN REGION,15,71.31,0.76,,435,0.22,2.5,,5897,,,,,,,,,,,,,,,,
2252,125,6,"Palanisamy,R.",M,AMMK,1043,49.0,194358,272553,UDUMALPET,GEN,COIMBATORE,WESTERN REGION,15,71.31,0.54,yes,256,0.13,2.5,AETN274629,24338,1.0,,,,,,0.0,False,False,False,12th Pass,Business,,Agriculture,,Lost
