Constituency_No,Position,Candidate,Sex,Party,Votes,Age,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_ID,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Education_Qualification,Main_Profession,Main_Profession_Desc,Second_Profession,Second_Profession_Desc,Result,Invalid_Votes
65,8,Rajkumar.E,M,BSP,632,44.0,196434,244442,KALASAPAKKAM,GEN,TIRUVANNAMALAI,CHENNAI CITY REGION,15,80.36,0.32,yes,182,0.09,2.38,AETN187926,16651,2.0,IND,10809.0,KALASAPAKKAM,True,False,0.0,False,False,True,12th Pass,Agriculture,,,,Lost,48008
65,13,Rajendran.M.S,M,IJK,244,60.0,196434,244442,KALASAPAKKAM,GEN,TIRUVANNAMALAI,CHENNAI CITY REGION,15,80.36,0.12,yes,5,0.0,2.38,AETN191433,3969,2.0,IJK,3969.0,KALASAPAKKAM,True,True,0.0,False,False,False,12th Pass,Politics,Party Worker,,,Lost,48008
66,1,Agri KRISHNAMURTHY. S S,M,ADMK,97732,61.0,202012,245368,POLUR,GEN,TIRUVANNAMALAI,CHENNAI CITY REGION,15,82.33,48.38,no,9725,4.81,2.38,GETN270055,930,4.0,ADMK,930.0,KALASAPAKKAM,False,True,3.0,False,False,False,Graduate Professional,Agriculture,,,,Won,43356
66,2,SEKARAN. K.V,M,DMK,88007,63.0,202012,245368,POLUR,GEN,TIRUVANNAMALAI,CHENNAI CITY REGION,15,82.33,43.57,no,77810,38.52,2.38,AETN187939,10192,2.0,DMK,10192.0,POLUR,True,True,1.0,False,True,True,10th Pass,Politics,MLA,Agriculture,,Lost,43356
66,9,MURUGESAN. D,M,IND,278,52.0,202012,245368,POLUR,GEN,TIRUVANNAMALAI,CHENNAI CITY REGION,15,82.33,0.14,yes,62,0.03,2.38,AETN191446,10809,2.0,IND,10809.0,POLUR,True,True,0.0,False,False,False,8th Pass,Agricultural Labour,Coolie,,,Lost,43356
67,1,S.RAMACHANDRAN,M,ADMK,102961,63.0,221422,277332,ARANI,GEN,TIRUVANNAMALAI,CHENNAI CITY REGION,15,79.84,46.5,no,3128,1.41,2.38,AETN271735,930,2.0,ADMK,930.0,ARANI,True,True,2.0,False,True,True,12th Pass,Small Business or Self-employed,,,,Won,55910
69,1,Ambethkumar S,M,DMK,102064,44.0,185974,242122,VANDAVASI,SC,TIRUVANNAMALAI,CHENNAI CITY REGION,11,76.81,54.88,no,35953,19.33,2.33,AETN187994,10192,2.0,DMK,10192.0,VANDAVASI,True,True,2.0,False,True,True,,,,,,Won,56148
70,1,MASTHAN K S,M,DMK,109625,65.0,206880,264518,GINGEE,GEN,VILLUPURAM,CHENNAI CITY REGION,13,78.21,52.99,no,35803,17.31,2.44,AETN188006,10192,2.0,DMK,10192.0,GINGEE,True,True,2.0,False,True,True,8th Pass,Agriculture,,,,Won,57638
70,7,GOPI S,M,IND,1914,41.0,206880,264518,GINGEE,GEN,VILLUPURAM,CHENNAI CITY REGION,13,78.21,0.93,yes,1277,0.62,2.44,AETN188017,10809,2.0,IND,10809.0,GINGEE,True,True,0.0,False,False,True,12th Pass,Labourer or Daily Wage,,,,Lost,57638
71,2,Dr. MASILAMANI R,M,DMK,78814,70.0,176989,222627,MAILAM,GEN,VILLUPURAM,CHENNAI CITY REGION,14,79.5,44.53,no,70474,39.82,2.44,AETN188020,10192,7.0,DMK,10192.0,MAILAM,True,True,2.0,False,True,True,Graduate Professional,Liberal Profession or Professional,Doctor,,,Lost,45638
72,2,SEETHAPATHY P,F,DMK,77399,70.0,182538,232740,TINDIVANAM,SC,VILLUPURAM,CHENNAI CITY REGION,15,78.43,42.4,no,68196,37.36,2.44,AETN188032,10192,2.0,DMK,10192.0,TINDIVANAM,True,True,1.0,False,True,True,Post Graduate,Retired or Pension,Retired Teacher,Agriculture,,Lost,50202
72,12,VISWANATHAN S A,M,All  India  Pattali  Munnetra Katchi,148,44.0,182538,232740,TINDIVANAM,SC,VILLUPURAM,CHENNAI CITY REGION,15,78.43,0.08,yes,7,0.0,2.44,GETN10206,740,2.0,AIPMK,740.0,TINDIVANAM,True,True,0.0,False,False,True,5th Pass,Agriculture,,,,Lost,50202
73,1,CHAKRAPANI M,M,ADMK,92219,66.0,182208,228359,VANUR,SC,VILLUPURAM,CHENNAI CITY REGION,7,79.79,50.61,no,21727,11.92,2.44,AETN271356,930,3.0,ADMK,930.0,VANUR,True,True,2.0,False,True,True,Graduate,Politics,MLA,,,Won,46151
73,3,LATCHOUMY M,F,NTK,8587,39.0,182208,228359,VANUR,SC,VILLUPURAM,CHENNAI CITY REGION,7,79.79,4.71,yes,3127,1.72,2.44,AETN188048,5533,2.0,NTK,5533.0,VANUR,True,True,0.0,False,False,True,12th Pass,Small Business or Self-employed,Self-employed,,,Lost,46151
74,2,SHANMUGAM C Ve,M,ADMK,87403,56.0,204860,266155,VILLUPURAM,GEN,VILLUPURAM,CHENNAI CITY REGION,25,76.97,42.66,no,81028,39.55,2.33,AETN188052,930,5.0,ADMK,930.0,VILLUPURAM,True,True,4.0,False,True,True,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Lost,61295
74,15,VICTOR A S,M,Desiya Sirupanmayinar Makkal Iyakkam,78,46.0,204860,266155,VILLUPURAM,GEN,VILLUPURAM,CHENNAI CITY REGION,25,76.97,0.04,yes,0,0.0,2.33,AETN188072,24308,2.0,IND,10809.0,VILLUPURAM,True,False,0.0,False,False,True,10th Pass,Religious Occupation,Pastor,,,Lost,61295
74,26,INIYADAYALAN G,M,IND,19,70.0,204860,266155,VILLUPURAM,GEN,VILLUPURAM,CHENNAI CITY REGION,25,76.97,0.01,yes,0,0.0,2.33,AETN271719,10809,3.0,IND,10809.0,VILLUPURAM,True,True,0.0,False,False,True,,,,,,Lost,61295
75,1,PUGAZHENTHI N,M,DMK,93730,66.0,193617,237887,VIKRAVANDI,GEN,VILLUPURAM,CHENNAI CITY REGION,14,81.39,48.41,no,9573,4.94,2.38,AETN276721,10192,2.0,DMK,10192.0,VIKRAVANDI,True,True,1.0,False,False,True,8th Pass,Agriculture,,,,Won,44270
75,2,MUTHAMILSELVAN R,M,ADMK,84157,56.0,193617,237887,VIKRAVANDI,GEN,VILLUPURAM,CHENNAI CITY REGION,14,81.39,43.47,no,75941,39.22,2.38,AETN276720,930,2.0,ADMK,,VIKRAVANDI,True,True,1.0,False,True,True,10th Pass,Agriculture,,,,Lost,44270
75,9,SATHISH R,M,IND,436,34.0,193617,237887,VIKRAVANDI,GEN,VILLUPURAM,CHENNAI CITY REGION,14,81.39,0.23,yes,131,0.07,2.38,AETN276730,10809,2.0,IND,10809.0,VIKRAVANDI,True,True,0.0,False,False,True,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Lost,44270
76,1,K.PONMUDY,M,DMK,110980,70.0,196217,257266,TIRUKKOYILUR,GEN,VILLUPURAM,CHENNAI CITY REGION,14,76.27,56.56,no,59680,30.42,2.5,AETN188093,10192,5.0,DMK,10192.0,TIRUKKOYILUR,True,True,4.0,False,True,True,Doctorate,Politics,Party Worker,,,Won,61049
76,3,L.VENKATESAN,M,DMDK,13997,53.0,196217,257266,TIRUKKOYILUR,GEN,VILLUPURAM,CHENNAI CITY REGION,14,76.27,7.13,yes,2377,1.21,2.5,AETN272598,2956,4.0,DMDK,2956.0,VILLUPURAM,False,True,1.0,False,False,True,Graduate,Business,,Agriculture,,Lost,61049
77,1,MANIKANNAN A J,M,DMK,115451,57.0,244853,296360,ULUNDURPET,GEN,VILLUPURAM,CHENNAI CITY REGION,15,82.62,47.15,no,5256,2.15,2.38,AETN199170,10192,3.0,DMK,10192.0,THIRUNAVALUR,False,True,2.0,False,False,False,10th Pass,Business,Rent,,,Won,51507
77,2,KUMARAGURU R,M,ADMK,110195,60.0,244853,296360,ULUNDURPET,GEN,VILLUPURAM,CHENNAI CITY REGION,15,82.62,45.0,no,101195,41.33,2.38,AETN188107,930,4.0,ADMK,930.0,ULUNDURPETTAI,True,True,3.0,False,True,True,10th Pass,Politics,MLA,,,Lost,51507
77,12,VENkATESAN M,M,CPI(ML)(L),143,49.0,244853,296360,ULUNDURPET,GEN,VILLUPURAM,CHENNAI CITY REGION,15,82.62,0.06,yes,26,0.01,2.38,GETN10175,2472,3.0,CPI(ML)(L),2472.0,ULUNDURPETTAI,True,True,0.0,False,False,True,Graduate,Agriculture,,,,Lost,51507
78,1,KARTHIKEYAN K,M,DMK,113912,43.0,215106,268278,RISHIVANDIAM,GEN,VILLUPURAM,CHENNAI CITY REGION,15,80.18,52.96,no,41728,19.4,2.56,AETN188132,10192,2.0,DMK,10192.0,RISHIVANDIYAM,True,True,2.0,False,True,True,Graduate Professional,Business,,,,Won,53172
78,10,CHANDRASEKARAN V,M,IND,287,51.0,215106,268278,RISHIVANDIAM,GEN,VILLUPURAM,CHENNAI CITY REGION,15,80.18,0.13,yes,19,0.01,2.56,AETN188138,10809,2.0,IND,10809.0,RISHIVANDIYAM,True,True,0.0,False,False,True,,,,,,Lost,53172
79,1,UDHAYASURIYAN T,M,DMK,121186,57.0,215802,271176,SANKARAPURAM,GEN,VILLUPURAM,CHENNAI CITY REGION,19,79.58,56.16,no,45963,21.3,2.27,AETN199350,10192,6.0,DMK,10192.0,SANKARAPURAM,True,True,4.0,False,True,True,Graduate,Agriculture,,,,Won,55374
79,5,MANNAN M P,M,IND,1156,60.0,215802,271176,SANKARAPURAM,GEN,VILLUPURAM,CHENNAI CITY REGION,19,79.58,0.54,yes,203,0.09,2.27,AETN188160,10809,2.0,BSP,16651.0,SANKARAPURAM,True,False,0.0,False,False,True,Post Graduate,Other,,,,Lost,55374
79,13,DHANAM K,F,IND,348,46.0,215802,271176,SANKARAPURAM,GEN,VILLUPURAM,CHENNAI CITY REGION,19,79.58,0.16,yes,55,0.03,2.27,AETN188164,10809,2.0,RPI,6911.0,SANKARAPURAM,True,False,0.0,False,False,True,Illiterate,Other,,,,Lost,55374
79,16,OVIYAR ANANDH C,M,LJP,257,40.0,215802,271176,SANKARAPURAM,GEN,VILLUPURAM,CHENNAI CITY REGION,19,79.58,0.12,yes,54,0.03,2.27,AETN188168,5029,2.0,LJP,5029.0,SANKARAPURAM,True,True,0.0,False,False,True,Others,Small Business or Self-employed,Self-employed,,,Lost,55374
79,19,JAYAPRAKASH K,M,IND,134,41.0,215802,271176,SANKARAPURAM,GEN,VILLUPURAM,CHENNAI CITY REGION,19,79.58,0.06,yes,46,0.02,2.27,AETN188166,10809,2.0,IND,10809.0,SANKARAPURAM,True,True,0.0,False,False,True,Graduate,Other,,,,Lost,55374
80,1,Senthilkumar.M,M,ADMK,110643,43.0,225858,288968,KALLAKURICHI,SC,VILLUPURAM,CHENNAI CITY REGION,17,78.16,48.99,no,25891,11.46,2.56,AETN272305,930,2.0,IND,10809.0,KALLAKURICHI,True,False,1.0,False,False,False,12th Pass,Business,,,,Won,63110
80,2,Manirathinem.K.I,M,INC,84752,62.0,225858,288968,KALLAKURICHI,SC,VILLUPURAM,CHENNAI CITY REGION,17,78.16,37.52,no,68278,30.23,2.56,AETN189383,3482,2.0,INC,3482.0,KATTUMANNARKOIL,False,True,0.0,False,False,True,Doctorate,Business,,Social Work,,Lost,63110
80,14,Elaiyaperumal.K,M,IND,185,45.0,225858,288968,KALLAKURICHI,SC,VILLUPURAM,CHENNAI CITY REGION,17,78.16,0.08,yes,14,0.01,2.56,AETN188175,10809,2.0,IJK,3969.0,KALLAKURICHI,True,False,0.0,False,False,True,10th Pass,Agriculture,,,,Lost,63110
80,17,Gurusamy.M,M,IND,103,42.0,225858,288968,KALLAKURICHI,SC,VILLUPURAM,CHENNAI CITY REGION,17,78.16,0.05,yes,1,0.0,2.56,AETN191590,10809,2.0,IND,10809.0,KALLAKURICHI,True,True,0.0,False,False,False,10th Pass,Agriculture,,,,Lost,63110
81,2,"REKHA PRIYADHARSHINI,J.",F,DMK,82207,38.0,186503,241866,GANGAVALLI,SC,SALEM,WESTERN REGION,11,77.11,44.08,no,72884,39.08,2.38,AETN188182,10192,2.0,DMK,10192.0,GANGAVALLI,True,True,0.0,False,False,True,Post Graduate,Other,Household,,,Lost,55363
82,2,"CHINNADURAI, K.",M,DMK,87051,55.0,199743,258533,ATTUR,SC,SALEM,WESTERN REGION,11,77.26,43.58,no,76818,38.46,2.38,AETN194564,10192,3.0,DMK,10192.0,GANGAVALLI,False,True,1.0,False,False,False,Graduate Professional,Other,,,,Lost,58790
82,6,"MADHESWARAN, S.",M,AMMK,1699,53.0,199743,258533,ATTUR,SC,SALEM,WESTERN REGION,11,77.26,0.85,yes,1205,0.6,2.38,AETN191602,24338,2.0,ADMK,930.0,ATTUR,True,False,1.0,True,False,False,Graduate,Agriculture,,,,Lost,58790
82,8,"ARUMUGAM, D.",M,IND,367,46.0,199743,258533,ATTUR,SC,SALEM,WESTERN REGION,11,77.26,0.18,yes,126,0.06,2.38,AETN191611,10809,2.0,IND,10809.0,ATTUR,True,True,0.0,False,False,False,,,,,,Lost,58790
83,1,G. Chitra,F,ADMK,121561,40.0,238924,287548,YERCAUD,ST,SALEM,WESTERN REGION,13,83.09,50.88,no,25955,10.86,2.38,AETN188210,930,2.0,ADMK,930.0,YERCAUD,True,True,2.0,False,True,True,5th Pass,Other,,,,Won,48624
83,2,C. TAMILSELVAN,M,DMK,95606,50.0,238924,287548,YERCAUD,ST,SALEM,WESTERN REGION,13,83.09,40.02,no,82298,34.45,2.38,AETN194487,10192,4.0,DMK,10192.0,YERCAUD,True,True,1.0,False,False,True,5th Pass,Agriculture,,,,Lost,48624
86,21,ESWARAMURTHY. N,M,IND,89,45.0,247301,288768,EDAPADI,GEN,SALEM,WESTERN REGION,28,85.64,0.04,yes,23,0.01,1.92,AETN188277,10809,2.0,IND,10809.0,EDAPPADI,True,True,0.0,False,False,True,12th Pass,Agriculture,,,,Lost,41467
88,5,ALAGAAPURAM R. MOHANRAJ,M,DMDK,2307,67.0,216628,301668,SALEM (West),GEN,SALEM,WESTERN REGION,28,71.81,1.06,yes,624,0.29,2.56,GETN10270,2956,3.0,DMDK,2956.0,SALEM (WEST),True,True,1.0,False,False,True,12th Pass,Business,Real Estate or Builder or Developer or Construction,Agriculture,,Lost,85040
88,16,CHANDRASEKARAN. G,M,IND,191,38.0,216628,301668,SALEM (West),GEN,SALEM,WESTERN REGION,28,71.81,0.09,yes,27,0.01,2.56,GETN10278,10809,2.0,IND,10809.0,SALEM (WEST),True,True,0.0,False,False,False,10th Pass,Business,,,,Lost,85040
88,19,JEEVANANTHAM. M,M,IND,129,58.0,216628,301668,SALEM (West),GEN,SALEM,WESTERN REGION,28,71.81,0.06,yes,1,0.0,2.56,AETN271772,10809,3.0,IND,10809.0,SALEM (WEST),True,True,0.0,False,False,True,Others,Other,,,,Lost,85040
88,25,SABBAPATHI. M,M,IND,93,35.0,216628,301668,SALEM (West),GEN,SALEM,WESTERN REGION,28,71.81,0.04,yes,14,0.01,2.56,AETN188331,10809,2.0,YSP,13071.0,SALEM (NORTH),False,False,0.0,False,False,True,Graduate,Social Work,,,,Lost,85040
89,1,R. RAJENDRAN,M,DMK,93432,61.0,202376,280532,SALEM (North),GEN,SALEM,WESTERN REGION,20,72.14,46.17,no,7588,3.75,2.56,AETN271051,10192,4.0,DMK,10192.0,SALEM (NORTH),True,True,3.0,False,True,True,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Won,78156
89,2,G.VENKATACHALAM,M,ADMK,85844,57.0,202376,280532,SALEM (North),GEN,SALEM,WESTERN REGION,20,72.14,42.42,no,75126,37.12,2.56,AETN188296,930,3.0,ADMK,930.0,SALEM (WEST),False,True,2.0,False,True,True,8th Pass,Politics,MP,,,Lost,78156
89,13,M AHAMEDSHAHJAHAN,M,MGR Makkal Katchi,96,51.0,202376,280532,SALEM (North),GEN,SALEM,WESTERN REGION,20,72.14,0.05,yes,23,0.01,2.56,GETN76945,24297,2.0,IND,10809.0,SALEM (NORTH),True,False,0.0,False,False,False,Post Graduate,Liberal Profession or Professional,Lawyer,,,Lost,78156
90,5,SE.VENKATAJALAM,M,AMMK,2970,65.0,199982,263134,SALEM (South),GEN,SALEM,WESTERN REGION,24,76.0,1.49,yes,1110,0.56,2.63,AETN197056,24338,2.0,ADMK,930.0,SALEM-I,False,False,1.0,True,False,False,10th Pass,Business,,Agriculture,,Lost,63152
91,4,"SELVAM, S.K.",M,AMMK,4986,59.0,223702,261212,VEERAPANDI,GEN,SALEM,WESTERN REGION,20,85.64,2.23,yes,3577,1.6,2.38,AETN206010,24338,4.0,ADMK,930.0,VEERAPANDI,True,False,2.0,True,False,False,10th Pass,Agriculture,,,,Lost,37510
91,19,"VAITHI, M.",M,IND,62,35.0,223702,261212,VEERAPANDI,GEN,SALEM,WESTERN REGION,20,85.64,0.03,yes,3,0.0,2.38,AETN191726,10809,2.0,IND,10809.0,VEERAPANDI,True,True,0.0,False,False,False,12th Pass,Business,,,,Lost,37510
92,2,SAROJA V. Dr,F,ADMK,88775,72.0,196904,239980,RASIPURAM,SC,NAMAKKAL,WESTERN REGION,15,82.05,45.09,no,77480,39.35,2.44,AETN203299,930,3.0,ADMK,930.0,RASIPURAM,True,True,2.0,False,True,True,Doctorate,Liberal Profession or Professional,Doctor,,,Lost,43076
93,1,PONNUSAMY K,M,DMK,90681,69.0,199235,246181,SENDAMANGALAM,ST,NAMAKKAL,WESTERN REGION,15,80.93,45.51,no,10493,5.27,2.7,AETN188385,10192,4.0,DMK,10192.0,SENTHAMANGALAM,True,True,2.0,False,False,True,8th Pass,Agriculture,,,,Won,46946
93,6,CHANDRAN P,M,AMMK,831,59.0,199235,246181,SENDAMANGALAM,ST,NAMAKKAL,WESTERN REGION,15,80.93,0.42,yes,159,0.08,2.7,AETN194588,24338,2.0,ADMK,930.0,SENDAMANGALAM,False,False,0.0,True,False,False,8th Pass,Labourer or Daily Wage,,,,Lost,46946
94,2,BASKAR K.P.P.,M,ADMK,78633,51.0,206759,263152,NAMAKKAL,GEN,NAMAKKAL,WESTERN REGION,26,78.57,38.03,no,68511,33.14,2.44,AETN188394,930,3.0,ADMK,930.0,NAMAKKAL,True,True,2.0,False,True,True,12th Pass,Business,,Politics,Party Worker,Lost,56393
95,2,MOORTHIY K S,M,DMK,78372,59.0,183697,226395,PARAMATHI-VELUR,GEN,NAMAKKAL,WESTERN REGION,27,81.14,42.66,no,66688,36.3,2.5,AETN188409,10192,2.0,DMK,10192.0,PARAMATHI-VELUR,True,True,1.0,False,True,True,Graduate,Agriculture,,,,Lost,42698
95,25,PERIASAMY R,M,IND,52,51.0,183697,226395,PARAMATHI-VELUR,GEN,NAMAKKAL,WESTERN REGION,27,81.14,0.03,yes,10,0.01,2.5,AETN272590,10809,2.0,IND,10809.0,PARAMATHI-VELUR,True,True,0.0,False,False,True,12th Pass,Labourer or Daily Wage,,,,Lost,42698
96,1,ESWARAN E R,M,DMK,81688,60.0,184669,234619,TIRUCHENGODE,GEN,NAMAKKAL,WESTERN REGION,28,78.71,44.23,no,2862,1.55,2.56,AETN191997,10192,3.0,KNMK,11384.0,SULUR,False,False,1.0,True,False,False,Graduate,Business,,,,Won,49950
96,2,SARASWATHI PON,F,ADMK,78826,60.0,184669,234619,TIRUCHENGODE,GEN,NAMAKKAL,WESTERN REGION,28,78.71,42.69,no,64859,35.12,2.56,AETN188428,930,2.0,ADMK,930.0,TIRUCHENGODU,True,True,1.0,False,True,True,Graduate,Business,"Real Estate or Builder or Developer or Construction, Transport",,,Lost,49950
96,3,NATARAJAN P,M,NTK,13967,40.0,184669,234619,TIRUCHENGODE,GEN,NAMAKKAL,WESTERN REGION,28,78.71,7.56,yes,10243,5.55,2.56,AETN188435,5533,2.0,NTK,5533.0,TIRUCHENGODU,True,True,0.0,False,False,True,Others,Agriculture,,,,Lost,49950
97,1,THANGAMANI.P,M,ADMK,100800,60.0,201925,256087,KUMARAPALAYAM,GEN,NAMAKKAL,WESTERN REGION,29,78.85,49.92,no,31646,15.67,2.7,AETN272532,930,4.0,ADMK,930.0,KUMARAPALAYAM,True,True,4.0,False,True,True,10th Pass,Salaried Work or Employed,,Agriculture,,Won,54162
97,13,S.PONGIYANNAN,M,IND,194,53.0,201925,256087,KUMARAPALAYAM,GEN,NAMAKKAL,WESTERN REGION,29,78.85,0.1,yes,6,0.0,2.7,AETN188472,10809,2.0,IND,10809.0,KUMARAPALAYAM,True,True,0.0,False,False,True,Post Graduate,Agriculture,,,,Lost,54162
99,1,Muthusamy S,M,DMK,100757,71.0,205579,296394,ERODE (West),GEN,ERODE,WESTERN REGION,15,69.36,49.01,no,22089,10.74,2.56,AETN191807,10192,8.0,DMK,10192.0,ERODE (WEST),True,True,5.0,False,False,True,Post Graduate,Agriculture,,,,Won,90815
99,2,Ramalingam K V,M,ADMK,78668,64.0,205579,296394,ERODE (West),GEN,ERODE,WESTERN REGION,15,69.36,38.27,no,65315,31.77,2.56,AETN191817,930,3.0,ADMK,930.0,ERODE (WEST),True,True,2.0,False,True,True,Graduate,Agriculture,,,,Lost,90815
99,9,Muthusamy A,M,IND,189,52.0,205579,296394,ERODE (West),GEN,ERODE,WESTERN REGION,15,69.36,0.09,yes,10,0.0,2.56,AETN188500,10809,2.0,IND,10809.0,ERODE (WEST),True,True,0.0,False,False,True,5th Pass,Labourer or Daily Wage,Coolie,,,Lost,90815
99,10,VENGATESAN A,M,IND,179,43.0,205579,296394,ERODE (West),GEN,ERODE,WESTERN REGION,15,69.36,0.09,yes,10,0.0,2.56,AETN188504,10809,2.0,IND,10809.0,ERODE (WEST),True,True,0.0,False,False,True,Others,Small Business or Self-employed,Self-employed,,,Lost,90815
100,2,SUBBULAKSHMI JEGADEESAN,F,DMK,77844,73.0,181857,241638,MODAKURICHI,GEN,ERODE,WESTERN REGION,15,75.26,42.81,no,64900,35.69,2.7,AETN200146,10192,3.0,DMK,10192.0,MODAKURICHI,False,True,1.0,False,False,False,Graduate,Agriculture,,,,Lost,59781
100,3,PRAKASH.G,M,NTK,12944,33.0,181857,241638,MODAKURICHI,GEN,ERODE,WESTERN REGION,15,75.26,7.12,yes,8370,4.6,2.7,AETN188512,5533,2.0,NTK,5533.0,MODAKKURICHI,True,True,0.0,False,False,True,10th Pass,Small Business or Self-employed,Self-employed,,,Lost,59781
100,12,GOVANAM THANGAVEL.K.S,M,IND,301,62.0,181857,241638,MODAKURICHI,GEN,ERODE,WESTERN REGION,15,75.26,0.17,yes,6,0.0,2.7,AETN191834,10809,2.0,IND,10809.0,MODAKKURICHI,True,True,0.0,False,False,False,8th Pass,Agriculture,,,,Lost,59781
102,1,SAMINATHAN.M.P,M,DMK,94197,57.0,199818,258865,KANGAYAM,GEN,ERODE,WESTERN REGION,26,77.19,47.14,no,7331,3.67,2.44,AETN192085,10192,6.0,DMK,10192.0,TIRUPPUR (NORTH),False,True,4.0,False,False,True,Graduate,Business,,Agriculture,,Won,59047
102,25,SUKUMARAN.N,M,IND,59,64.0,199818,258865,KANGAYAM,GEN,ERODE,WESTERN REGION,26,77.19,0.03,yes,19,0.01,2.44,AETN188545,10809,3.0,IND,10809.0,KANGAYAM,True,True,0.0,False,False,True,5th Pass,Business,,,,Lost,59047
103,2,KKC BALU,M,DMK,70618,59.0,189843,229834,PERUNDURAI,GEN,ERODE,WESTERN REGION,25,82.6,37.2,no,60324,31.78,2.94,AETN191863,10192,2.0,KNMK,11384.0,PERUNDURAI,True,False,0.0,True,False,False,Graduate Professional,Business,,,,Lost,39991
103,5,"NANDHAKUMAR, C. K.",M,MNM,3533,42.0,189843,229834,PERUNDURAI,GEN,ERODE,WESTERN REGION,25,82.6,1.86,yes,197,0.1,2.94,AETN188563,24404,2.0,GMI,3070.0,PERUNDURAI,True,False,0.0,True,False,True,Others,Other,,,,Lost,39991
103,11,"DHAKSHINAMURTHI, K. S.",M,Desiya Makkal Sakthi Katchi,618,47.0,189843,229834,PERUNDURAI,GEN,ERODE,WESTERN REGION,25,82.6,0.33,yes,373,0.2,2.94,AETN188561,2953,2.0,IND,10809.0,PERUNDURAI,True,False,0.0,False,False,True,Graduate,Other,,,,Lost,39991
103,15,"DEVENDARAMANICKAM, S. R.",M,IND,180,62.0,189843,229834,PERUNDURAI,GEN,ERODE,WESTERN REGION,25,82.6,0.09,yes,11,0.01,2.94,AETN197323,10809,2.0,IND,10809.0,PERUNDURAI,True,True,0.0,False,False,False,Post Graduate,Liberal Profession or Professional,Lawyer,,,Lost,39991
103,21,"PRABAKARAN, D.",M,All India Jananayaka Makkal Kazhagam,102,46.0,189843,229834,PERUNDURAI,GEN,ERODE,WESTERN REGION,25,82.6,0.05,yes,12,0.01,2.94,AETN188559,24295,2.0,IND,10809.0,PERUNDURAI,True,False,0.0,False,False,True,10th Pass,Agriculture,,,,Lost,39991
104,1,KARUPPANAN.K.C,M,ADMK,100915,64.0,201385,241179,BHAVANI,GEN,ERODE,WESTERN REGION,14,83.5,50.11,no,22523,11.18,2.5,AETN188569,930,4.0,ADMK,930.0,BHAVANI,True,True,3.0,False,True,True,10th Pass,Agriculture,,,,Won,39794
104,8,AMMASAI.K,M,Kongu  Desa  Marumalarchi  Makkal  Katchi,943,44.0,201385,241179,BHAVANI,GEN,ERODE,WESTERN REGION,14,83.5,0.47,yes,73,0.04,2.5,AETN188581,24321,2.0,JD(U),11002.0,BHAVANI,True,False,0.0,True,False,True,12th Pass,Labourer or Daily Wage,,,,Lost,39794
104,10,PERUMAL.V.M,M,IND,419,67.0,201385,241179,BHAVANI,GEN,ERODE,WESTERN REGION,14,83.5,0.21,yes,97,0.05,2.5,AETN194911,10809,3.0,IND,10809.0,BHAVANI,True,True,0.0,False,False,False,5th Pass,Agriculture,,,,Lost,39794
105,1,VENKATACHALAM.A.G,M,DMK,79096,61.0,176385,221338,ANTHIYUR,GEN,ERODE,WESTERN REGION,20,79.69,44.84,no,1275,0.72,2.56,AETN188585,10192,2.0,DMK,10192.0,ANTHIYUR,True,True,1.0,False,False,True,10th Pass,Agriculture,,,,Won,44953
106,1,SENGOTTAIYAN K.A,M,ADMK,108608,73.0,214281,259671,GOBICHETTIPALAYAM,GEN,TIRUPUR,WESTERN REGION,19,82.52,50.68,no,28563,13.33,2.5,AETN211232,930,10.0,ADMK,930.0,GOBICHETTIPALAYAM,True,True,9.0,False,True,True,10th Pass,Agriculture,,Social Work,,Won,45390
106,8,MOHANRAJ K,M,IND,789,26.0,214281,259671,GOBICHETTIPALAYAM,GEN,TIRUPUR,WESTERN REGION,19,82.52,0.37,yes,178,0.08,2.5,AETN191909,10809,2.0,IND,10809.0,GOBICHETTIPALAYAM,True,True,0.0,False,False,False,8th Pass,Labourer or Daily Wage,,,,Lost,45390
106,11,PALANISAMYRAAJ M,M,IND,430,67.0,214281,259671,GOBICHETTIPALAYAM,GEN,TIRUPUR,WESTERN REGION,19,82.52,0.2,yes,12,0.01,2.5,AETN188610,10809,2.0,IND,10809.0,GOBICHETTIPALAYAM,True,True,0.0,False,False,True,10th Pass,Agriculture,,,,Lost,45390
107,2,P.L SUNDARAM,M,CPI,83173,52.0,200567,259230,BHAVANISAGAR,SC,TIRUPUR,WESTERN REGION,6,77.37,41.47,no,74656,37.22,2.44,AETN191919,2444,3.0,CPI,2444.0,BHAVANISAGAR,True,True,1.0,False,False,True,8th Pass,Social Work,,,,Lost,58663
