Constituency_No,Position,Candidate,Sex,Party,Votes,Age,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_ID,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Education_Qualification,Main_Profession,Main_Profession_Desc,Second_Profession,Second_Profession_Desc,Result,Invalid_Votes
11,17,PREMKUMAR.P,M,IND,79,42.0,187027,263492,DR. RADHAKRISHNAN NAGAR,GEN,CHENNAI,CHENNAI CITY REGION,31,70.98,0.04,yes,12,0.01,2.86,AETN186984,10809,2.0,IND,10809.0,DR.RADHAKRISHNAN NAGAR,True,True,0.0,False,False,True,Post Graduate,Liberal Profession or Professional,Lawyer,,,Lost,76465
11,26,MARIMUTHU.P,M,IND,38,65.0,187027,263492,DR. RADHAKRISHNAN NAGAR,GEN,CHENNAI,CHENNAI CITY REGION,31,70.98,0.02,yes,1,0.0,2.86,AETN272650,10809,5.0,IND,10809.0,DR.RADHAKRISHNAN NAGAR,True,True,0.0,False,False,True,5th Pass,Other,,,,Lost,76465
11,29,VENUGOPAL.D,M,SHS,34,35.0,187027,263492,DR. RADHAKRISHNAN NAGAR,GEN,CHENNAI,CHENNAI CITY REGION,31,70.98,0.02,yes,7,0.0,2.86,AETN186976,18691,2.0,SHS,18691.0,DR.RADHAKRISHNAN NAGAR,True,True,0.0,False,False,True,10th Pass,Small Business or Self-employed,Self-employed,,,Lost,76465
12,1,SHEKAR. R.D,M,DMK,105267,54.0,200387,318074,PERAMBUR,GEN,CHENNAI,CHENNAI CITY REGION,22,63.0,52.53,no,54976,27.43,2.78,AETN276489,10192,2.0,DMK,10192.0,PERAMBUR,True,True,2.0,False,True,True,Graduate Professional,Business,,,,Won,117687
12,2,DHANAPALAN N.R,M,ADMK,50291,69.0,200387,318074,PERAMBUR,GEN,CHENNAI,CHENNAI CITY REGION,22,63.0,25.1,no,30470,15.21,2.78,AETN187010,930,3.0,DMK,10192.0,PERAMBUR,True,False,0.0,True,False,False,Post Graduate,Business,,,,Lost,117687
12,3,MERLIN SUGANTHI. S,F,NTK,19821,35.0,200387,318074,PERAMBUR,GEN,CHENNAI,CHENNAI CITY REGION,22,63.0,9.89,yes,2749,1.37,2.78,AETN276492,5533,2.0,NTK,5533.0,PERAMBUR,True,True,0.0,False,False,True,Others,Other,Household,,,Lost,117687
12,14,PREM ANAND. J,M,IND,112,32.0,200387,318074,PERAMBUR,GEN,CHENNAI,CHENNAI CITY REGION,22,63.0,0.06,yes,6,0.0,2.78,AETN276501,10809,2.0,IND,10809.0,PERAMBUR,True,True,0.0,False,False,True,Post Graduate,Liberal Profession or Professional,Lawyer,,,Lost,117687
12,18,SARAVANA PERUMAL. R,M,IND,65,47.0,200387,318074,PERAMBUR,GEN,CHENNAI,CHENNAI CITY REGION,22,63.0,0.03,yes,5,0.0,2.78,AETN187018,10809,2.0,IND,10809.0,PERAMBUR,True,True,0.0,False,False,False,Post Graduate,Small Business or Self-employed,Self-employed,,,Lost,117687
12,20,KADHIRAVAN. M,M,IND,48,53.0,200387,318074,PERAMBUR,GEN,CHENNAI,CHENNAI CITY REGION,22,63.0,0.02,yes,2,0.0,2.78,AETN276512,10809,2.0,IND,10809.0,PERAMBUR,True,True,0.0,False,False,True,12th Pass,Business,,,,Lost,117687
13,1,M.K. STALIN,M,DMK,105522,68.0,173388,284056,KOLATHUR,GEN,CHENNAI,CHENNAI CITY REGION,36,61.04,60.86,no,70384,40.59,2.38,AETN202458,10192,9.0,DMK,10192.0,KOLATHUR,True,True,7.0,False,True,True,Graduate,Social Work,,,,Won,110668
13,2,AADIRAJARAM,M,ADMK,35138,62.0,173388,284056,KOLATHUR,GEN,CHENNAI,CHENNAI CITY REGION,36,61.04,20.27,no,21062,12.15,2.38,AETN193549,930,2.0,ADMK,930.0,THOUSAND LIGHTS,False,True,0.0,False,False,False,Graduate Professional,Politics,Party Worker,,,Lost,110668
13,10,ASHOK KUMAR.S,M,New Generation People’s Party,257,41.0,173388,284056,KOLATHUR,GEN,CHENNAI,CHENNAI CITY REGION,36,61.04,0.15,yes,59,0.03,2.38,AETN190760,24300,3.0,VTIP,8487.0,KOLATHUR,True,False,0.0,True,False,True,Post Graduate,Liberal Profession or Professional,Consultant,,,Lost,110668
14,2,J.C.D.Prabhakar,M,ADMK,38890,68.0,144092,257675,VILLIVAKKAM,GEN,CHENNAI,CHENNAI CITY REGION,23,55.92,26.99,no,25526,17.72,2.7,AETN187043,930,4.0,ADMK,930.0,KOLATHUR,False,True,1.0,False,False,True,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Lost,113583
14,9,A.Palanivel,M,BSP,222,46.0,144092,257675,VILLIVAKKAM,GEN,CHENNAI,CHENNAI CITY REGION,23,55.92,0.15,yes,16,0.01,2.7,AETN187073,16651,2.0,BSP,16651.0,VILLIVAKKAM,True,True,0.0,False,False,True,5th Pass,Business,Real Estate or Builder or Developer or Construction,,,Lost,113583
16,1,I.PARANTHAMEN,M,DMK,68832,44.0,119271,195110,EGMORE,SC,CHENNAI,CHENNAI CITY REGION,18,61.13,57.71,no,38768,32.5,2.5,AETN186853,10192,2.0,DMK,10192.0,POONAMALLEE,False,True,1.0,False,False,False,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Won,75839
16,2,B.JOHN PANDIAN,M,ADMK,30064,65.0,119271,195110,EGMORE,SC,CHENNAI,CHENNAI CITY REGION,18,61.13,25.21,no,20074,16.83,2.5,AETN196274,930,4.0,TMMK,8255.0,TIRUVADANAI,False,False,0.0,True,False,True,Post Graduate,Business,,,,Lost,75839
16,3,U. PRIYADARSINI,F,MNM,9990,33.0,119271,195110,EGMORE,SC,CHENNAI,CHENNAI CITY REGION,18,61.13,8.38,yes,3714,3.11,2.5,AETN276491,24404,2.0,MNM,24404.0,PERAMBUR,False,True,0.0,False,False,True,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Lost,75839
16,5,T.PRABHU,M,DMDK,1293,40.0,119271,195110,EGMORE,SC,CHENNAI,CHENNAI CITY REGION,18,61.13,1.08,yes,117,0.1,2.5,AETN187108,2956,2.0,DMDK,2956.0,EGMORE,True,True,0.0,False,False,True,Graduate,Other,,,,Lost,75839
16,10,Dr.N. GUNASEKAR,M,IND,109,31.0,119271,195110,EGMORE,SC,CHENNAI,CHENNAI CITY REGION,18,61.13,0.09,yes,11,0.01,2.5,AETN187115,10809,2.0,IND,10809.0,EGMORE,True,True,0.0,False,False,True,Graduate Professional,Social Work,,,,Lost,75839
16,12,J.CHANDRAKALA,F,LJP,92,42.0,119271,195110,EGMORE,SC,CHENNAI,CHENNAI CITY REGION,18,61.13,0.08,yes,8,0.01,2.5,AETN187120,5029,2.0,JASD,4175.0,EGMORE,True,False,0.0,True,False,True,12th Pass,Other,Household,,,Lost,75839
17,2,JAYAKUMAR.D,M,ADMK,36645,60.0,121191,193595,ROYAPURAM,GEN,CHENNAI,CHENNAI CITY REGION,26,62.6,30.24,no,28479,23.5,2.7,AETN202302,930,7.0,ADMK,930.0,ROYAPURAM,True,True,5.0,False,True,True,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Lost,72404
17,12,DHANASEKARAN.G,M,IND,109,50.0,121191,193595,ROYAPURAM,GEN,CHENNAI,CHENNAI CITY REGION,26,62.6,0.09,yes,24,0.02,2.7,AETN187138,10809,2.0,IND,10809.0,ROYAPURAM,True,True,0.0,False,False,True,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Lost,72404
18,1,SEKARBABU. P.K,M,DMK,59317,58.0,101650,176353,HARBOUR,GEN,CHENNAI,CHENNAI CITY REGION,28,57.64,58.35,no,27274,26.83,2.27,AETN187143,10192,5.0,DMK,10192.0,HARBOUR,True,True,4.0,False,True,True,10th Pass,Other,,,,Won,74703
18,21,KRISHNAKUMAR. G,M,IND,22,35.0,101650,176353,HARBOUR,GEN,CHENNAI,CHENNAI CITY REGION,28,57.64,0.02,yes,1,0.0,2.27,AETN187161,10809,2.0,IND,10809.0,HARBOUR,True,True,0.0,False,False,True,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Lost,74703
19,2,KASSALI A.V.A,M,PMK,23930,61.0,137405,235564,CHEPAUK-THIRUVALLIKENI,GEN,CHENNAI,CHENNAI CITY REGION,26,58.33,17.42,no,14737,10.73,2.04,AETN187172,11891,2.0,PMK,11891.0,CHEPAUK-THIRUVALLIKENI,True,True,0.0,False,False,True,5th Pass,Business,Real Estate or Builder or Developer or Construction,Politics,Party Worker,Lost,98159
19,7,RAGHU C,M,BSP,723,44.0,137405,235564,CHEPAUK-THIRUVALLIKENI,GEN,CHENNAI,CHENNAI CITY REGION,26,58.33,0.53,yes,356,0.26,2.04,AETN187175,16651,3.0,BSP,16651.0,CHEPAUK-THIRUVALLIKENI,True,True,0.0,False,False,True,8th Pass,Business,,,,Lost,98159
19,15,ABID BAKSHQ H HUSSAIN,M,RPI(A),105,44.0,137405,235564,CHEPAUK-THIRUVALLIKENI,GEN,CHENNAI,CHENNAI CITY REGION,26,58.33,0.08,yes,16,0.01,2.04,AETN187182,24545,2.0,RPI(A),12285.0,CHEPAUK-THIRUVALLIKENI,True,False,0.0,True,False,True,,,,,,Lost,98159
21,1,M.K. Mohan,M,DMK,80054,68.0,165096,287974,ANNA NAGAR,GEN,CHENNAI,CHENNAI CITY REGION,23,57.33,48.49,no,27445,16.62,2.86,AETN187210,10192,2.0,DMK,10192.0,ANNA NAGAR,True,True,2.0,False,True,True,8th Pass,Agriculture,,,,Won,122878
21,2,S. Gokula Indira,F,ADMK,52609,55.0,165096,287974,ANNA NAGAR,GEN,CHENNAI,CHENNAI CITY REGION,23,57.33,31.87,no,35087,21.25,2.86,AETN190879,930,3.0,ADMK,930.0,ANNA NAGAR,True,True,1.0,False,False,True,Post Graduate,Liberal Profession or Professional,Lawyer,Politics,Party Worker,Lost,122878
22,2,VIRUGAI V.N.RAVI,M,ADMK,55984,58.0,169087,293604,VIRUGAMPAKKAM,GEN,CHENNAI,CHENNAI CITY REGION,27,57.59,33.11,no,39045,23.09,3.23,AETN187231,930,2.0,ADMK,930.0,VIRUGAMPAKKAM,True,True,1.0,False,True,True,Graduate,Other,,,,Lost,124517
22,4,T.S.RAJENDRAN,M,NTK,10185,57.0,169087,293604,VIRUGAMPAKKAM,GEN,CHENNAI,CHENNAI CITY REGION,27,57.59,6.02,yes,4999,2.96,3.23,AETN187236,5533,2.0,NTK,5533.0,VIRUGAMPAKKAM,True,True,0.0,False,False,True,12th Pass,Business,Real Estate or Builder or Developer or Construction,,,Lost,124517
22,6,B.PARTHASARATHY,M,DMDK,1585,56.0,169087,293604,VIRUGAMPAKKAM,GEN,CHENNAI,CHENNAI CITY REGION,27,57.59,0.94,yes,22,0.01,3.23,AETN193820,2956,4.0,DMDK,2956.0,VIRUGAMPAKKAM,True,True,1.0,False,False,True,10th Pass,Business,,,,Lost,124517
23,1,SUBRAMANIAN. MA,M,DMK,80194,61.0,160327,279510,SAIDAPET,GEN,CHENNAI,CHENNAI CITY REGION,30,57.36,50.02,no,29408,18.34,2.78,AETN196363,10192,3.0,DMK,10192.0,SAIDAPET,True,True,2.0,False,True,True,,,,,,Won,119183
23,2,SAIDAI DURAISAMY,M,ADMK,50786,69.0,160327,279510,SAIDAPET,GEN,CHENNAI,CHENNAI CITY REGION,30,57.36,31.68,no,37332,23.28,2.78,AETN207939,930,4.0,ADMK,930.0,KOLATHUR,False,True,1.0,False,False,False,10th Pass,Other,,,,Lost,119183
23,5,SENTHAMIZHAN. G,M,AMMK,2081,57.0,160327,279510,SAIDAPET,GEN,CHENNAI,CHENNAI CITY REGION,30,57.36,1.3,yes,923,0.58,2.78,GETN270083,24338,3.0,ADMK,930.0,SAIDAPET,True,False,2.0,True,False,False,Post Graduate,Liberal Profession or Professional,Lawyer,,,Lost,119183
